epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,20.1368,0.67639,0.89423,1.0885,0.81537,0.49361,0.5468,0.31821,1.60014,1.88567,1.35319,2.99772e-05,2.99772e-05,2.99772e-05
55,20.4798,0.83892,0.87593,1.32714,0.81537,0.49361,0.5468,0.31821,1.60014,1.88567,1.35319,2.99066e-05,2.99066e-05,2.99066e-05
56,20.8324,0.75815,0.96721,1.23992,0.81537,0.49361,0.5468,0.31821,1.60014,1.88567,1.35319,2.98125e-05,2.98125e-05,2.98125e-05
57,21.209,0.8478,1.05254,1.24131,0.83183,0.49326,0.53564,0.30964,1.70529,1.94069,1.40751,2.96948e-05,2.96948e-05,2.96948e-05
58,21.558,0.73809,0.7146,1.19691,0.83183,0.49326,0.53564,0.30964,1.70529,1.94069,1.40751,2.95535e-05,2.95535e-05,2.95535e-05
59,21.9043,0.8957,0.88071,1.26442,0.83183,0.49326,0.53564,0.30964,1.70529,1.94069,1.40751,2.93887e-05,2.93887e-05,2.93887e-05
60,22.2696,0.86383,0.83168,1.29793,0.84465,0.49282,0.53426,0.3089,1.72842,1.98611,1.423,2.92003e-05,2.92003e-05,2.92003e-05
61,22.6128,0.94004,0.96862,1.23122,0.84465,0.49282,0.53426,0.3089,1.72842,1.98611,1.423,2.89884e-05,2.89884e-05,2.89884e-05
62,22.9667,0.76558,1.15492,1.24106,0.84465,0.49282,0.53426,0.3089,1.72842,1.98611,1.423,2.87529e-05,2.87529e-05,2.87529e-05
63,23.3402,0.74031,0.84875,1.15545,0.83997,0.49165,0.52087,0.29623,1.7541,2.13941,1.45205,2.84938e-05,2.84938e-05,2.84938e-05
64,23.689,0.64506,0.6467,1.06945,0.83997,0.49165,0.52087,0.29623,1.7541,2.13941,1.45205,2.82112e-05,2.82112e-05,2.82112e-05
65,24.0433,0.75347,0.92582,1.23037,0.83997,0.49165,0.52087,0.29623,1.7541,2.13941,1.45205,2.7905e-05,2.7905e-05,2.7905e-05
66,24.4096,0.50951,0.75101,1.10618,0.83796,0.49027,0.51947,0.29544,1.72047,2.04406,1.42384,2.75753e-05,2.75753e-05,2.75753e-05
67,24.752,0.61205,0.67584,1.04079,0.83796,0.49027,0.51947,0.29544,1.72047,2.04406,1.42384,2.7222e-05,2.7222e-05,2.7222e-05
68,25.1113,0.74501,0.79106,1.26736,0.83796,0.49027,0.51947,0.29544,1.72047,2.04406,1.42384,2.68451e-05,2.68451e-05,2.68451e-05
69,25.4847,0.77494,0.89106,1.11487,0.83166,0.4901,0.51973,0.28608,1.71084,2.06352,1.41494,2.64447e-05,2.64447e-05,2.64447e-05
70,25.8333,0.78166,0.71126,1.11754,0.83166,0.4901,0.51973,0.28608,1.71084,2.06352,1.41494,2.60207e-05,2.60207e-05,2.60207e-05
71,26.1898,0.64572,1.02415,1.13689,0.83166,0.4901,0.51973,0.28608,1.71084,2.06352,1.41494,2.55731e-05,2.55731e-05,2.55731e-05
72,26.5579,0.85923,0.99797,1.24352,0.83914,0.48937,0.52037,0.28699,1.70667,2.09154,1.41335,2.5102e-05,2.5102e-05,2.5102e-05
